Belgium,Share_LULUCF,-0.003608247,-0.004075395,-0.002428363,0.004237288,0.0045
Denmark,Share_LULUCF,0.022680412,0.021395823,0.019912579,0.019303202,0.02
Finland,Share_LULUCF,-0.051546392,-0.048395313,-0.018455561,-0.016007533,-0.017
France,Share_LULUCF,-0.277319588,-0.3138054,-0.330743079,-0.350282486,-0.3935
Germany,Share_LULUCF,-0.080927835,-0.079979623,-0.076250607,-0.073917137,-0.0785
Greece,Share_LULUCF,0,0,0,0,0
Ireland,Share_LULUCF,0.009793814,0.012735609,0.019426906,0.026836158,0.021
Italy,Share_LULUCF,-0.12628866,-0.129903209,-0.185041282,-0.189736347,-0.212
Luxemburg,Share_LULUCF,0,0,0,0,0
Malta,Share_LULUCF,-0.000515464,-0.000509424,-0.000485673,-0.00047081,-0.0005
Netherlands,Share_LULUCF,0.028350515,0.028018339,0.026711996,0.025894539,0.0275
Norway,Share_LULUCF,-0.12628866,-0.119714722,-0.10976202,-0.100282486,0
Portugal,Share_LULUCF,-0.051546392,-0.038716251,-0.03836814,-0.039077213,-0.0435
Spain,Share_LULUCF,-0.174742268,-0.171166582,-0.160757649,-0.153954802,-0.1615
Sweden,Share_LULUCF,-0.144845361,-0.130412634,-0.113647402,-0.117702448,-0.128
UK,Share_LULUCF,-0.041237113,-0.050942435,-0.054395338,-0.058380414,-0.0635
WEU,Share_LULUCF,-1,-1,-1,-1,-1
