Country,Element,Item,Year,Unit,Value
Spain,Production,Millet and products,2010,1000 tonnes,1
Spain,Production,Millet and products,2011,1000 tonnes,1
Spain,Production,Millet and products,2012,1000 tonnes,1
Spain,Production,Millet and products,2013,1000 tonnes,1
Spain,Production,Sorghum and products,2000,1000 tonnes,42
Spain,Production,Sorghum and products,2001,1000 tonnes,33
Spain,Production,Sorghum and products,2002,1000 tonnes,29
Spain,Production,Sorghum and products,2003,1000 tonnes,21
Spain,Production,Sorghum and products,2004,1000 tonnes,25
Spain,Production,Sorghum and products,2005,1000 tonnes,22
Spain,Production,Sorghum and products,2006,1000 tonnes,21
Spain,Production,Sorghum and products,2007,1000 tonnes,26
Spain,Production,Sorghum and products,2008,1000 tonnes,22
Spain,Production,Sorghum and products,2009,1000 tonnes,33
Spain,Production,Sorghum and products,2010,1000 tonnes,37
Spain,Production,Sorghum and products,2011,1000 tonnes,37
Spain,Production,Sorghum and products,2012,1000 tonnes,27
Spain,Production,Sorghum and products,2013,1000 tonnes,45
Spain,Production,"Cereals, Other",2000,1000 tonnes,171
Spain,Production,"Cereals, Other",2001,1000 tonnes,149
Spain,Production,"Cereals, Other",2002,1000 tonnes,180
Spain,Production,"Cereals, Other",2003,1000 tonnes,178
Spain,Production,"Cereals, Other",2004,1000 tonnes,161
Spain,Production,"Cereals, Other",2005,1000 tonnes,89
Spain,Production,"Cereals, Other",2006,1000 tonnes,216
Spain,Production,"Cereals, Other",2007,1000 tonnes,226
Spain,Production,"Cereals, Other",2008,1000 tonnes,232
Spain,Production,"Cereals, Other",2009,1000 tonnes,226
Spain,Production,"Cereals, Other",2010,1000 tonnes,211
Spain,Production,"Cereals, Other",2011,1000 tonnes,283
Spain,Production,"Cereals, Other",2012,1000 tonnes,271
Spain,Production,"Cereals, Other",2013,1000 tonnes,472
Spain,Production,Potatoes and products,2000,1000 tonnes,3078
Spain,Production,Potatoes and products,2001,1000 tonnes,2992
Spain,Production,Potatoes and products,2002,1000 tonnes,3078
Spain,Production,Potatoes and products,2003,1000 tonnes,2665
Spain,Production,Potatoes and products,2004,1000 tonnes,2774
Spain,Production,Potatoes and products,2005,1000 tonnes,2563
Spain,Production,Potatoes and products,2006,1000 tonnes,2515
Spain,Production,Potatoes and products,2007,1000 tonnes,2480
Spain,Production,Potatoes and products,2008,1000 tonnes,2145
Spain,Production,Potatoes and products,2009,1000 tonnes,2719
Spain,Production,Potatoes and products,2010,1000 tonnes,2327
Spain,Production,Potatoes and products,2011,1000 tonnes,2455
Spain,Production,Potatoes and products,2012,1000 tonnes,2192
Spain,Production,Potatoes and products,2013,1000 tonnes,2182
Spain,Production,Sweet potatoes,2000,1000 tonnes,15
Spain,Production,Sweet potatoes,2001,1000 tonnes,26
Spain,Production,Sweet potatoes,2002,1000 tonnes,23
Spain,Production,Sweet potatoes,2003,1000 tonnes,11
Spain,Production,Sweet potatoes,2004,1000 tonnes,24
Spain,Production,Sweet potatoes,2005,1000 tonnes,24
Spain,Production,Sweet potatoes,2006,1000 tonnes,25
Spain,Production,Sweet potatoes,2007,1000 tonnes,22
Spain,Production,Sweet potatoes,2008,1000 tonnes,25
Spain,Production,Sweet potatoes,2009,1000 tonnes,25
Spain,Production,Sweet potatoes,2010,1000 tonnes,23
Spain,Production,Sweet potatoes,2011,1000 tonnes,21
Spain,Production,Sweet potatoes,2012,1000 tonnes,10
Spain,Production,Sweet potatoes,2013,1000 tonnes,11
Spain,Production,"Roots, Other",2000,1000 tonnes,6
Spain,Production,"Roots, Other",2001,1000 tonnes,8
Spain,Production,"Roots, Other",2002,1000 tonnes,8
Spain,Production,"Roots, Other",2003,1000 tonnes,7
Spain,Production,"Roots, Other",2004,1000 tonnes,7
Spain,Production,"Roots, Other",2005,1000 tonnes,8
Spain,Production,"Roots, Other",2006,1000 tonnes,10
